county,level,school_name,lat,lon,address
Henrico,Middle,George H. Moody Middle School,37.62566,-77.481197,"7800 Woodman Rd, Henrico, VA 23228"
Henrico,Middle,Holman Middle School,37.68969,-77.590283,"600 Concourse Blvd, Glen Allen, VA 23059"
Henrico,Middle,Hungary Creek Middle School,37.658299,-77.537688,"4909 Francistown Rd, Glen Allen, VA 23060"
Henrico,Middle,John Rolfe Middle School,37.476199,-77.373343,"6901 Messer Rd, Henrico, VA 23231"
Henrico,Middle,L. Douglas Wilder Middle School,37.620586,-77.421663,"6900 Wilkinson Rd, Henrico, VA 23227"
Henrico,Middle,Pocahontas Middle School,37.645605,-77.607788,"12000 Three Chopt Rd, Henrico, VA 23233"
Henrico,Middle,Quioccasin Middle School,37.608472,-77.582046,"9400 Quioccasin Rd, Henrico, VA 23238"
Henrico,Middle,Short Pump Middle School,37.666682,-77.610151,"4701 Pouncey Tract Rd, Glen Allen, VA 23059"
Henrico,Middle,Tuckahoe Middle School,37.60787,-77.5607,"9000 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Deep Run High School,37.675125,-77.599355,"4801 Twin Hickory Rd, Glen Allen, VA 23059"
Henrico,High,Douglas S. Freeman High School,37.601364,-77.558233,"8701 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Glen Allen High School,37.665899,-77.534616,"10700 Staples Mill Rd, Glen Allen, VA 23060"
Henrico,High,Henrico High School,37.603748,-77.433219,"302 Azalea Ave, Henrico, VA 23227"
Henrico,High,Hermitage High School,37.633101,-77.517998,"8301 Hungary Spring Rd, Henrico, VA 23228"
Henrico,High,Highland Springs High School,37.536452,-77.324621,"200 S Airport Dr, Highland Springs, VA 23075"
Henrico,High,John Randolph Tucker High School,37.629232,-77.547908,"2910 N Parham Rd, Richmond, VA 23294"
Henrico,High,Mills E. Godwin High School,37.620138,-77.605081,"2101 Pump Rd, Henrico, VA 23238"
Henrico,High,Varina High School,37.472776,-77.376977,"7053 Messer Rd, Henrico, VA 23231"
Henrico,High,The Academy at Virginia Randolph,37.662726,-77.48131,"2206 Mountain Rd, Glen Allen, VA 23060"
Chesterfield,Elementary,Crestwood Elementary School,37.526405,-77.53708,"7600 Whittington Dr, Richmond, VA 23235"
Chesterfield,Elementary,C.E. Curtis Elementary School,37.360918,-77.434432,"3600 W Hundred Rd, Chester, VA 23831"
Chesterfield,Elementary,Clover Hill Elementary School,37.420413,-77.673776,"5700 Woodlake Village Pkwy, Midlothian, VA 23112"
Chesterfield,Elementary,Crenshaw Elementary School,37.41657,-77.61003,"11901 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Elementary,Elizabeth Scott Elementary School,37.339362,-77.339877,"813 Beginners Trail Loop, Chester, VA 23836"
Chesterfield,Elementary,Marguerite Christian Elementary School,37.321139,-77.390584,"14801 Woods Edge Rd, Colonial Heights, VA 23834"
Chesterfield,High,Lloyd C. Bird High School,37.388143,-77.495375,"10301 Courthouse Rd, Chesterfield, VA 23832"
Chesterfield,High,Clover Hill High School,37.447681,-77.640614,"13301 Kelly Green Ln, Midlothian, VA 23112"
Chesterfield,High,Cosby High School,37.406083,-77.702539,"14300 Fox Club Pkwy, Midlothian, VA 23112"
Chesterfield,High,Midlothian High School,37.496281,-77.660423,"401 Charter Colony Pkwy, Midlothian, VA 23114"
Chesterfield,High,James River High School,37.552513,-77.649318,"3700 James River Rd, Midlothian, VA 23113"
Chesterfield,Middle,Bailey Bridge Middle School,37.408296,-77.616729,"12501 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Middle,Carver Middle School,37.301626,-77.431094,"3800 Cougar Tr, Chester, VA 23831"
Chesterfield,Middle,Elizabeth Davis Middle School,37.33565,-77.342249,"601 Corvus Court, Chester, VA 23836"
Chesterfield,Middle,Deep Creek Middle School,37.434374,-77.736946,"17151 Westerleigh Parkway, Moseley, VA 23120"
Chesterfield,Middle,Falling Creek Middle School,37.45738,-77.47061,"4780 Hopkins Rd, North Chesterfield, VA 23234"
Chesterfield,Middle,Manchester Middle School,37.467893,-77.527866,"7401 Hull Street Rd, Richmond, VA 23235"
Chesterfield,Middle,Matoaca Middle School,37.254477,-77.473486,"6001 Hickory Rd, South Chesterfield, VA 23803"
Chesterfield,Middle,Midlothian Middle School,37.502283,-77.648705,"13501 Midlothian Turnpike, Midlothian, VA 23113"
Chesterfield,Middle,Providence Middle School,37.488409,-77.542917,"900 Starlight Ln, Richmond, VA 23235"
Chesterfield,Middle,Robious Middle School,37.529322,-77.613343,"2701 Robious Crossing Dr, Midlothian, VA 23113"
Chesterfield,Middle,Salem Church Middle School,37.384343,-77.486508,"9700 Salem Church Rd, Richmond, VA 23237"
Chesterfield,Middle,Swift Creek Middle School,37.442029,-77.64451,"3700 Old Hundred Rd S, Midlothian, VA 23112"
Chesterfield,Middle,Tomahawk Creek Middle School,37.466169,-77.669731,"1600 Learning Pl, Midlothian, VA 23114"
Goochland,Elementary,Byrd Elementary School,37.757418,-78.05722,"2704 Hadensville Fife Rd, Goochland, VA 23063"
Goochland,Elementary,Goochland Elementary School,37.707017,-77.895604,"2000 Bulldog Way, Goochland, VA 23063"
Goochland,Elementary,Randolph Elementary School,37.685064,-77.795199,"1552 Sheppard Town Rd, Crozier, VA 23039"
Goochland,Middle,Goochland Middle School,37.700041,-77.896891,"3250 River Rd W, Goochland, VA 23063"
Goochland,High,Goochland High School,37.700041,-77.896891,"3250 River Rd W, Goochland, VA 23063"
Powhatan,Elementary,Flat Rock Elementary School,37.519169,-77.798584,"2210 Batterson Rd, Powhatan, VA 23139"
Powhatan,Elementary,Pocahontas Elementary School,37.560216,-77.948904,"4294 Anderson Hwy, Powhatan, VA 23139"
Powhatan,Elementary,Powhatan Elementary School,37.551577,-77.934227,"4111 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,Middle,Powhatan Middle School,37.551267,-77.936722,"4135 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,High,Powhatan High School,37.52211,-77.802562,"1800 Judes Ferry Rd, Powhatan, VA 23139"
Caroline,Elementary,Bowling Green Elementary School,38.024405,-77.342017,"17502 New Baltimore Road, Milford, VA 22514"
Caroline,Elementary,Lewis and Clark Elementary School,37.605926,-77.389139,"18101 Clark And York Blvd, Ruther Glen, VA 22546"
Caroline,Elementary,Madison Elementary School,38.026612,-77.490298,"9075 Chance Place, Ruther Glen, VA 22546"
Caroline,Middle,Caroline Middle School,38.00341,-77.410702,"13325 Devils Three Jump Rd, Milford, VA 22514"
Caroline,High,Caroline High School,38.000374,-77.414575,"19155 Rogers Clark Blvd, Milford, VA 22514"
New Kent,Elementary,George W. Watkins Elementary School,37.529496,-77.098171,"6501 New Kent Hwy, Quinton, VA 23141"
New Kent,Elementary,New Kent Elementary School,37.514312,-76.983703,"11705 New Kent Hwy, New Kent, VA 23124"
New Kent,Elementary,Quinton Elementary School,37.525854,-77.176053,"8325 S. Quaker Rd, Quinton, VA 23141"
New Kent,Middle,New Kent Middle School,37.512275,-76.983833,"7501 Egypt Rd, New Kent, VA 23124"
New Kent,High,New Kent High School,37.509825,-76.981105,"7365 Egypt Rd, New Kent, VA 23124"
New Kent,Other,Bridging Communities STEM Academy,37.515652,-76.979954,"7930 New Chipping Lane, New Kent, VA 23124"
Regional,High,CodeRVA Regional High School,37.568934,-77.453918,"1405 Cummings Dr, Richmond, VA 23220"
Regional,High,Maggie L. Walker Governor's School,37.557818,-77.45356,"1000 N Lombardy St, Richmond, VA 23220"
Private,PK-12,Collegiate School,37.57855,-77.588241,"103 N Mooreland Rd, Richmond, VA 23229"
Private,JK-12,St. Christopher's School,37.580136,-77.521782,"711 St Christophers Rd, Richmond, VA 23226"
Private,Age 3-12,St. Catherine's School,37.572594,-77.521042,"6001 Grove Ave, Richmond, VA 23226"
Private,JK-12,The Steward School,37.612099,-77.623439,"11600 Gayton Rd, Henrico, VA 23238"
Private,12-Aug,Trinity Episcopal School,37.5501,-77.594036,"3850 Pittaway Dr, Richmond, VA 23235"
Private,12-Sep,Saint Gertrude High School,37.580623,-77.674624,"12829 River Rd, Richmond, VA 23238"
Private,12-Sep,Benedictine College Preparatory,37.580623,-77.674624,"12829 River Rd, Richmond, VA 23238"
Private,JK-12,Veritas School,37.578716,-77.451649,"3400 Brook Rd, Richmond, VA 23227"
Private,K-12,The New Community School,37.594158,-77.465172,"4211 Hermitage Rd, Richmond, VA 23227"
Private,PK-12,Millwood School,37.408472,-77.691686,"15100 Millwood School Ln, Midlothian, VA 23112"
Private,PK-12,Blessed Sacrament Huguenot School,37.557911,-77.884958,"2501 Academy Rd, Powhatan, VA 23139"
Private,PK-8,St. Michael's Episcopal School,37.543902,-77.593494,"10510 Hobby Hill Road, Richmond, VA 23235"
Private,PK-8,Sabot at Stony Point,37.546467,-77.568436,"3400 Stony Point Rd, Richmond, VA 23235"
Private,8-May,Orchard House School,37.554687,-77.459814,"500 N Allen Ave, Richmond, VA 23220"
Private,PK-8,St. Edward-Epiphany Catholic School,37.53063,-77.594427,"10701 West Huguenot Road, Richmond, VA 23235"
Private,PK-8,St. Bridget Catholic School,37.57384,-77.523254,"6011 York Rd, Richmond, VA 23226"
Private,PK-8,St. Mary's Catholic School,37.601831,-77.586092,"9501 Gayton Rd, Henrico, VA 23229"
Private,PK-8,Our Lady of Lourdes Catholic School,37.631293,-77.48471,"8250 Woodman Rd, Henrico, VA 23228"
