county,level,school_name,lat,lon,address
Chesterfield,Middle,Manchester Middle School,37.4781,-77.5492,"7401 Hull Street Rd, Richmond, VA 23235"
Chesterfield,Middle,Matoaca Middle School,37.2661,-77.4764,"6001 Hickory Rd, South Chesterfield, VA 23803"
Chesterfield,Middle,Midlothian Middle School,37.5056,-77.6492,"13501 Midlothian Turnpike, Midlothian, VA 23113"
Chesterfield,Middle,Providence Middle School,37.5097,-77.5372,"900 Starlight Ln, Richmond, VA 23235"
Chesterfield,Middle,Robious Middle School,37.5256,-77.6186,"2701 Robious Crossing Dr, Midlothian, VA 23113"
Chesterfield,Middle,Salem Church Middle School,37.4111,-77.4817,"9700 Salem Church Rd, Richmond, VA 23237"
Chesterfield,Middle,Swift Creek Middle School,37.4589,-77.6433,"3700 Old Hundred Rd S, Midlothian, VA 23112"
Chesterfield,Middle,Tomahawk Creek Middle School,37.4686,-77.6975,"1600 Learning Pl, Midlothian, VA 23114"
Goochland,Elementary,Byrd Elementary School,37.7656,-77.9469,"2704 Hadensville Fife Rd, Goochland, VA 23063"
Goochland,Elementary,Goochland Elementary School,37.68,-77.885,"2000 Bulldog Way, Goochland, VA 23063"
Goochland,Elementary,Randolph Elementary School,37.6664,-77.7814,"1552 Sheppard Town Rd, Crozier, VA 23039"
Goochland,Middle,Goochland Middle School,37.6953,-77.9103,"3250 River Rd W, Goochland, VA 23063"
Goochland,High,Goochland High School,37.6961,-77.9125,"3250 River Rd W, Goochland, VA 23063"
Powhatan,Elementary,Flat Rock Elementary School,37.5089,-77.8083,"2210 Batterson Rd, Powhatan, VA 23139"
Powhatan,Elementary,Pocahontas Elementary School,37.5383,-77.9042,"4294 Anderson Hwy, Powhatan, VA 23139"
Powhatan,Elementary,Powhatan Elementary School,37.5342,-77.9189,"4111 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,Middle,Powhatan Middle School,37.5322,-77.9231,"4135 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,High,Powhatan High School,37.5272,-77.8594,"1800 Judes Ferry Rd, Powhatan, VA 23139"
Caroline,Elementary,Bowling Green Elementary School,38.005,-77.325,"17502 New Baltimore Road, Milford, VA 22514"
Caroline,Elementary,Lewis and Clark Elementary School,37.945,-77.47,"18101 Clark And York Blvd, Ruther Glen, VA 22546"
Caroline,Elementary,Madison Elementary School,37.965,-77.48,"9075 Chance Place, Ruther Glen, VA 22546"
Caroline,Middle,Caroline Middle School,38.0211,-77.3883,"13325 Devils Three Jump Rd, Milford, VA 22514"
Caroline,High,Caroline High School,38.0169,-77.3917,"19155 Rogers Clark Blvd, Milford, VA 22514"
New Kent,Elementary,George W. Watkins Elementary School,37.5293,-77.0983,"6501 New Kent Hwy, Quinton, VA 23141"
New Kent,Elementary,New Kent Elementary School,37.5186,-76.9947,"11705 New Kent Hwy, New Kent, VA 23124"
New Kent,Elementary,Quinton Elementary School,37.533,-77.115,"8325 S. Quaker Rd, Quinton, VA 23141"
New Kent,Middle,New Kent Middle School,37.5258,-76.9983,"7501 Egypt Rd, New Kent, VA 23124"
New Kent,High,New Kent High School,37.5283,-76.9989,"7365 Egypt Rd, New Kent, VA 23124"
New Kent,Other,Bridging Communities STEM Academy,37.505,-76.99,"7930 New Chipping Lane, New Kent, VA 23124"
Regional,High,CodeRVA Regional High School,37.5683,-77.4475,"1405 Cummings Dr, Richmond, VA 23220"
Regional,High,Maggie L. Walker Governor's School,37.5579,-77.4538,"1000 N Lombardy St, Richmond, VA 23220"
