county,level,school_name,lat,lon,address
Henrico,High,Mills E. Godwin High School,,,"2101 Pump Rd, Henrico, VA 23238"
Henrico,High,Varina High School,,,"7053 Messer Rd, Henrico, VA 23231"
Henrico,High,The Academy at Virginia Randolph,,,"2206 Mountain Rd, Glen Allen, VA 23060"
Chesterfield,Elementary,Crestwood Elementary School,,,"7600 Whittington Dr, Richmond, VA 23235"
Chesterfield,Elementary,C.E. Curtis Elementary School,,,"3600 W Hundred Rd, Chester, VA 23831"
Chesterfield,Elementary,Clover Hill Elementary School,,,"5700 Woodlake Village Pkwy, Midlothian, VA 23112"
Chesterfield,Elementary,Crenshaw Elementary School,,,"11901 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Elementary,Elizabeth Scott Elementary School,,,"813 Beginners Trail Loop, Chester, VA 23836"
Chesterfield,Elementary,Marguerite Christian Elementary School,,,"14801 Woods Edge Rd, Colonial Heights, VA 23834"
Chesterfield,High,Lloyd C. Bird High School,,,"10301 Courthouse Rd, Chesterfield, VA 23832"
Chesterfield,High,Clover Hill High School,,,"13301 Kelly Green Ln, Midlothian, VA 23112"
Chesterfield,High,Cosby High School,,,"14300 Fox Club Pkwy, Midlothian, VA 23112"
Chesterfield,High,Midlothian High School,,,"401 Charter Colony Pkwy, Midlothian, VA 23114"
Chesterfield,High,James River High School,,,"3700 James River Rd, Midlothian, VA 23113"
Chesterfield,Middle,Bailey Bridge Middle School,,,"12501 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Middle,Carver Middle School,,,"3800 Cougar Tr, Chester, VA 23831"
Chesterfield,Middle,Elizabeth Davis Middle School,,,"601 Corvus Court, Chester, VA 23836"
Chesterfield,Middle,Deep Creek Middle School,,,"17151 Westerleigh Parkway, Moseley, VA 23120"
Chesterfield,Middle,Falling Creek Middle School,,,"4780 Hopkins Rd, North Chesterfield, VA 23234"
Chesterfield,Middle,Manchester Middle School,,,"7401 Hull Street Rd, Richmond, VA 23235"
Chesterfield,Middle,Matoaca Middle School,,,"6001 Hickory Rd, South Chesterfield, VA 23803"
Chesterfield,Middle,Midlothian Middle School,,,"13501 Midlothian Turnpike, Midlothian, VA 23113"
Chesterfield,Middle,Providence Middle School,,,"900 Starlight Ln, Richmond, VA 23235"
Chesterfield,Middle,Robious Middle School,,,"2701 Robious Crossing Dr, Midlothian, VA 23113"
Chesterfield,Middle,Salem Church Middle School,,,"9700 Salem Church Rd, Richmond, VA 23237"
